model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,41,1,Subject_13,Image_13L,49938,587634,13823,8967,0.9847692633097271,0.9654886259354718,0.8477718360071301,0.9770174758960325,0.7832060350370916,0.8142109467986239,0.6866406335936641,12009,4649,938,90,50,10,30,0.6167951338784672,1.0,951,0.6130389064143007,9,251,0.6852589641434262
unet_standard,41,1,Subject_13,Image_13R,48838,585333,14208,11782,0.9797051534537194,0.9606308158161418,0.805641702408446,0.9763018709312624,0.7746407385083907,0.7898371419792021,0.6526701234831881,13686,6190,1017,109,46,18,45,0.5048110213876753,0.5714285714285714,1455,0.5024054982817869,22,593,0.45699831365935917
unet_standard,41,2,Subject_02,Image_02L,62386,577613,9447,15269,0.9835855177483064,0.9628171471984234,0.8033738973665572,0.9839079480802644,0.8684866287082539,0.8346623140318955,0.7162407292599481,11658,5387,1190,198,80,27,91,0.4617480645483516,0.30952380952380953,2882,0.48022206800832756,42,1321,0.5087055261165784
unet_standard,41,2,Subject_02,Image_02R,59793,576046,10138,14652,0.982438155182088,0.9624751562526017,0.8031835583316542,0.9827050891870129,0.855028528120576,0.8282955615891838,0.7069151011432557,14513,6427,680,178,72,25,81,0.4704911905880448,0.4166666666666667,2507,0.4551256481850818,37,1157,0.3949870354364736
unet_standard,41,2,Subject_03,Image_03L,63200,580764,8505,11895,0.9885530983847322,0.9692939412731575,0.8416006391903589,0.9855668633510333,0.8813890244752807,0.8610354223433242,0.7559808612440191,12974,4883,390,167,72,23,72,0.4967951735089079,0.5,2675,0.52,36,1355,0.5601476014760147
unet_standard,41,2,Subject_03,Image_03R,60190,582189,8553,12025,0.9899583555286949,0.9689602794751394,0.8334833483348335,0.9855215982611698,0.8755800590605589,0.8540132521744066,0.7452208795562599,12049,4175,497,139,86,13,40,0.6747628285321122,1.0,2418,0.7047146401985112,36,1350,0.7422222222222222
unet_standard,41,2,Subject_08,Image_08L,52893,543670,14612,8798,0.9856036643565783,0.9622402911094515,0.8573860044414906,0.973826847363877,0.7835419598548256,0.8188024397040156,0.6931968598875535,9871,4329,764,126,59,18,49,0.521050848652486,0.48214285714285715,1522,0.5387647831800263,21,551,0.5245009074410163
unet_standard,41,2,Subject_08,Image_08R,51556,546873,15760,9343,0.9823057870160561,0.9597406388124426,0.8465820456821951,0.9719888453041325,0.7658803256283796,0.8042116757009711,0.6725368188992812,9426,3661,2724,128,68,19,41,0.6056354184493697,0.9488095238095238,1811,0.6223081170623964,30,922,0.6952277657266811
unet_standard,41,3,Subject_07,Image_07L,63808,578462,12329,10697,0.9886580054217062,0.9653898415141531,0.8564257432387088,0.9791313679456863,0.8380682191313028,0.8471475418541974,0.7348273717668194,12780,4608,1217,145,72,25,48,0.5922729282489223,0.7916666666666666,2121,0.5657708628005658,31,1070,0.569158878504673
unet_standard,41,3,Subject_07,Image_07R,61833,582431,11189,10969,0.9876118013152725,0.9667507975426982,0.8493310623334523,0.9811512415349887,0.8467722056366574,0.8480497037524687,0.7361860199307069,10450,3977,1362,146,62,29,55,0.515384663509658,0.5,2057,0.5425376762275158,29,899,0.592880978865406
unet_standard,41,3,Subject_10,Image_10L,52938,586267,17066,7120,0.9858734481997747,0.9635418629435732,0.8814479336641247,0.9717137965269594,0.7562139306325353,0.814042533560917,0.6864011202738447,14442,4996,1084,142,73,18,51,0.5888890179908597,0.8940886699507389,1928,0.641597510373444,26,800,0.78
unet_standard,41,3,Subject_10,Image_10R,51048,584167,18546,8303,0.9817772552255066,0.9594465187655574,0.8601034523428417,0.9692291355918986,0.7335115096128977,0.7917794408468727,0.6553269060425947,16606,6236,1076,176,86,24,66,0.5505126607781595,0.6912058627581612,2428,0.586490939044481,35,1124,0.6592526690391459
unet_standard,41,3,Subject_11,Image_11L,45920,601493,14676,5199,0.989740814571249,0.9702152593782595,0.8982961325534538,0.9761818591977202,0.7578057957620965,0.8220919303585016,0.6979253742685615,10460,2998,850,122,73,17,32,0.6689402099594075,1.0,1695,0.6324483775811209,25,740,0.5486486486486486
unet_standard,41,3,Subject_11,Image_11R,46217,600177,14684,4906,0.9911745119168391,0.97058487891601,0.9040353656866772,0.9761181795560298,0.7588873745915502,0.8251267585517389,0.7023113042685428,9125,2539,1176,86,56,11,19,0.7013851062909083,1.0,1112,0.7248201438848921,14,431,0.7610208816705336
