model,seed,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_dpd_v3,42,07,23800,193545,3986,6344,0.9762813168950202,0.9546283078950258,0.7895435244161358,0.9798208888731389,0.8565464622471748,0.82168133954773,0.6973337239964841,15559,4823,176,165,90,20,55,0.5975348018496899,1.0,1552,0.5902061855670103,10,270,0.5148148148148148
unet_dpd_v3,42,08,21761,193214,3723,6550,0.9759958337725531,0.954392491831226,0.7686411642117905,0.9810954772338362,0.8539083346413436,0.8090342968677386,0.6793094836735968,14286,4749,84,144,85,16,43,0.641844216716324,1.0,1376,0.6388081395348837,9,233,0.6652360515021459
unet_dpd_v3,42,09,21547,196750,4170,5193,0.9761451326329699,0.9588728806114382,0.8057965594614809,0.9792454708341628,0.8378504491192597,0.8215109518272109,0.6970883209317373,14533,3939,79,170,98,19,53,0.6251588674685561,1.0,1481,0.6441593517893315,4,105,1.0
unet_dpd_v3,42,10,22609,194578,5602,4543,0.9771486343272198,0.9553736385550649,0.8326826753093695,0.9720151863323009,0.801424976073163,0.8167548723876957,0.6902668376381511,14801,3654,115,215,129,26,60,0.6544778260394365,1.0,2329,0.6509231429798197,19,530,0.6471698113207547
unet_dpd_v3,42,11,25171,191046,7235,4362,0.9758982736578908,0.94909443668958,0.8523008160362984,0.9635113803137971,0.7767388755168796,0.812767400184052,0.6845898607484769,17486,3551,295,239,159,22,58,0.7126275237907022,1.0,2350,0.7306382978723405,16,422,0.8222748815165877
unet_dpd_v3,42,12,24762,193461,5654,3728,0.9848396303520227,0.9587794644230135,0.8691470691470692,0.971604349245411,0.8141109942135718,0.8407292975248701,0.7252225866916588,14767,2764,181,172,132,14,26,0.7985109227268041,1.0,1515,0.7907590759075908,6,167,0.6766467065868264
unet_dpd_v3,42,13,26728,189868,5380,5524,0.9786020038965966,0.9520703296703297,0.828723800074414,0.972445300335983,0.8324405132677214,0.8305779987569919,0.7102465986394558,16138,4115,147,179,109,23,47,0.6825204044640012,1.0,1657,0.687990343995172,7,191,0.643979057591623
unet_dpd_v3,42,14,23503,192711,6512,3128,0.9845192041095804,0.9573175591311202,0.8825429011302617,0.9673130110479212,0.7830418124271198,0.8298202873989338,0.7091391847448933,13612,2205,445,162,133,16,13,0.8627032600702478,1.0,1529,0.8659254414650098,8,213,0.9342723004694836
unet_dpd_v3,42,15,20695,197630,6152,2917,0.9844893602174312,0.9601176812053088,0.8764611214636625,0.9698108763286257,0.7708496293813089,0.8202699221149844,0.6953030506652331,14842,2299,318,140,107,7,26,0.7852537936227122,1.0,1392,0.8096264367816092,12,297,0.8855218855218855
unet_dpd_v3,42,16,25856,191894,6009,3935,0.98533184010599,0.9563273516210352,0.8679131281259441,0.9696366401722055,0.8114231915895183,0.8387180485273128,0.7222346368715084,18736,3634,646,134,115,8,11,0.8938455201514904,1.0,1056,0.8863636363636364,3,65,0.8769230769230769
