architecture,seed_count,AUC_mean,AUC_sample_SD,accuracy_mean,accuracy_sample_SD,sensitivity_mean,sensitivity_sample_SD,specificity_mean,specificity_sample_SD,precision_mean,precision_sample_SD,F1_mean,F1_sample_SD,IoU_mean,IoU_sample_SD,thin_FN_mean,thin_FN_sample_SD,far_FP_mean,far_FP_sample_SD,recovered_mean,recovered_sample_SD,partial_mean,partial_sample_SD,missed_mean,missed_sample_SD,length_weighted_coverage_mean,length_weighted_coverage_sample_SD,long_branch_coverage_mean,long_branch_coverage_sample_SD
Standard U-Net,3,0.9797213950838728,0.0002695281032585283,0.955847579064829,0.0001171993620945896,0.8251371796136869,0.008315305743884581,0.974912052217055,0.0013257687609874137,0.827570149462557,0.00612469763180571,0.8263098215108347,0.0011564154785252054,0.7040283120830203,0.001678150368582343,75027.66666666667,436.7382892915772,4373.333333333333,419.24853408608755,2172.0,44.57577817604534,302.6666666666667,9.018499505645789,740.3333333333334,40.771722226726375,0.7162287550637064,0.015547756887069566,0.731868978805395,0.03169008040288798
PMR-2,3,0.9796065254977556,0.00038589699203685055,0.955637507823501,0.0004514294382065473,0.8291488429825032,0.00705462432371488,0.9740862293104513,0.0013964147940329376,0.8236034165251925,0.006618677075688208,0.8263304009663366,0.001243251185453744,0.7040583628760381,0.0018043258420329302,73320.33333333333,1330.0843331658837,4845.333333333333,1060.9233399889615,2187.0,34.698703145794944,307.3333333333333,4.041451884327381,720.6666666666666,31.085902485424697,0.7226673003372032,0.011399719735330008,0.7403468208092484,0.016308365294411414
DPD-2,3,0.9799113256615269,0.00023093560828456875,0.9554068701669384,0.0006177766959180092,0.8377001720191096,0.0067955335153053265,0.9725747175310285,0.0016928209165086683,0.8167796398164069,0.008054159119888323,0.8270632251227217,0.0008658349655234837,0.705122364371679,0.0012591959283311,70886.66666666667,2387.656242706084,4594.0,1001.7429810086019,2209.6666666666665,42.12283624512164,296.6666666666667,20.033305601755625,708.6666666666666,33.50124375800596,0.730791861859823,0.00981030368896245,0.7547591522157996,0.013749613347174929
