config_id,rho,branch_tolerance,min_branch_length,long_branch_threshold,far_fp_distance,architecture,seed,images,thin_FN,far_FP,recovered,partial,missed,evaluated_branches,evaluated_centerline_pixels,length_weighted_coverage,long_branches,long_centerline_pixels,long_branch_coverage
MINBR_7,2,1,7,20,5,Standard U-Net,43,20,74914,3974,1298,219,442,1959,22653,0.7158875204167219,166,4325,0.7329479768786127
MINBR_7,2,1,7,20,5,DPD-2,41,20,69885,5117,1324,231,404,1959,22653,0.7320443208405067,166,4325,0.7468208092485549
MINBR_7,2,1,7,20,5,DPD-2,42,20,69163,5226,1350,205,404,1959,22653,0.7409173177945526,166,4325,0.770635838150289
MINBR_7,2,1,7,20,5,DPD-2,43,20,73612,3439,1306,216,437,1959,22653,0.7223325828808547,166,4325,0.7468208092485549
LONGBR_15,2,1,5,15,5,Standard U-Net,41,20,75510,4810,2218,302,695,3215,29458,0.7318215764817707,402,8210,0.7471376370280146
LONGBR_15,2,1,5,15,5,Standard U-Net,42,20,74659,4336,2129,312,774,3215,29458,0.7007264580080114,402,8210,0.6833130328867235
LONGBR_15,2,1,5,15,5,Standard U-Net,43,20,74914,3974,2169,294,752,3215,29458,0.7161382307013375,402,8210,0.7165651644336175
LONGBR_15,2,1,5,15,5,DPD-2,41,20,69885,5117,2218,312,685,3215,29458,0.733179441917306,402,8210,0.7347137637028015
LONGBR_15,2,1,5,15,5,DPD-2,42,20,69163,5226,2247,274,694,3215,29458,0.7391879964695499,402,8210,0.7527405602923264
LONGBR_15,2,1,5,15,5,DPD-2,43,20,73612,3439,2164,304,747,3215,29458,0.7200081471926132,402,8210,0.7275274056029233
LONGBR_25,2,1,5,25,5,Standard U-Net,41,20,75510,4810,2218,302,695,3215,29458,0.7318215764817707,81,2488,0.7270900321543409
LONGBR_25,2,1,5,25,5,Standard U-Net,42,20,74659,4336,2129,312,774,3215,29458,0.7007264580080114,81,2488,0.6684083601286174
LONGBR_25,2,1,5,25,5,Standard U-Net,43,20,74914,3974,2169,294,752,3215,29458,0.7161382307013375,81,2488,0.682475884244373
LONGBR_25,2,1,5,25,5,DPD-2,41,20,69885,5117,2218,312,685,3215,29458,0.733179441917306,81,2488,0.7114147909967846
LONGBR_25,2,1,5,25,5,DPD-2,42,20,69163,5226,2247,274,694,3215,29458,0.7391879964695499,81,2488,0.7290996784565916
LONGBR_25,2,1,5,25,5,DPD-2,43,20,73612,3439,2164,304,747,3215,29458,0.7200081471926132,81,2488,0.7005627009646302
FARFP_3,2,1,5,20,3,Standard U-Net,41,20,75510,6100,2218,302,695,3215,29458,0.7318215764817707,166,4325,0.7630057803468208
FARFP_3,2,1,5,20,3,Standard U-Net,42,20,74659,5632,2129,312,774,3215,29458,0.7007264580080114,166,4325,0.6996531791907514
FARFP_3,2,1,5,20,3,Standard U-Net,43,20,74914,5178,2169,294,752,3215,29458,0.7161382307013375,166,4325,0.7329479768786127
FARFP_3,2,1,5,20,3,DPD-2,41,20,69885,6632,2218,312,685,3215,29458,0.733179441917306,166,4325,0.7468208092485549
FARFP_3,2,1,5,20,3,DPD-2,42,20,69163,6843,2247,274,694,3215,29458,0.7391879964695499,166,4325,0.770635838150289
FARFP_3,2,1,5,20,3,DPD-2,43,20,73612,4601,2164,304,747,3215,29458,0.7200081471926132,166,4325,0.7468208092485549
FARFP_7,2,1,5,20,7,Standard U-Net,41,20,75510,3860,2218,302,695,3215,29458,0.7318215764817707,166,4325,0.7630057803468208
FARFP_7,2,1,5,20,7,Standard U-Net,42,20,74659,3419,2129,312,774,3215,29458,0.7007264580080114,166,4325,0.6996531791907514
FARFP_7,2,1,5,20,7,Standard U-Net,43,20,74914,3144,2169,294,752,3215,29458,0.7161382307013375,166,4325,0.7329479768786127
FARFP_7,2,1,5,20,7,DPD-2,41,20,69885,3997,2218,312,685,3215,29458,0.733179441917306,166,4325,0.7468208092485549
FARFP_7,2,1,5,20,7,DPD-2,42,20,69163,4119,2247,274,694,3215,29458,0.7391879964695499,166,4325,0.770635838150289
FARFP_7,2,1,5,20,7,DPD-2,43,20,73612,2651,2164,304,747,3215,29458,0.7200081471926132,166,4325,0.7468208092485549
