observer,architecture,n_seeds,images_per_seed,AUC_mean,AUC_sample_sd,accuracy_mean,accuracy_sample_sd,sensitivity_mean,sensitivity_sample_sd,specificity_mean,specificity_sample_sd,precision_mean,precision_sample_sd,F1_mean,F1_sample_sd,IoU_mean,IoU_sample_sd,thin_FN_mean,thin_FN_sample_sd,far_FP_mean,far_FP_sample_sd,recovered_mean,recovered_sample_sd,partial_mean,partial_sample_sd,missed_mean,missed_sample_sd,length_weighted_coverage_mean,length_weighted_coverage_sample_sd,long_branch_coverage_mean,long_branch_coverage_sample_sd
OBSERVER_1,Standard U-Net,3,20,0.9797213950838727,0.0002695281032585283,0.955847579064829,0.0001171993620945896,0.8251371796136869,0.008315305743884581,0.9749120522170551,0.0013257687609874137,0.827570149462557,0.00612469763180571,0.8263098215108347,0.0011564154785252052,0.7040283120830202,0.001678150368582343,75027.66666666667,436.7382892915772,4373.333333333333,419.2485340860876,2172.0,44.57577817604534,302.6666666666667,9.018499505645789,740.3333333333334,40.771722226726375,0.7162287550637065,0.015547756887069566,0.7318689788053949,0.03169008040288798
OBSERVER_1,DPD-2,3,20,0.9799113256615268,0.00023093560828456875,0.9554068701669384,0.0006177766959180092,0.8377001720191096,0.006795533515305326,0.9725747175310285,0.001692820916508668,0.8167796398164069,0.008054159119888323,0.8270632251227217,0.0008658349655234835,0.705122364371679,0.0012591959283311,70886.66666666667,2387.656242706084,4594.0,1001.7429810086019,2209.6666666666665,42.12283624512164,296.6666666666667,20.033305601755625,708.6666666666666,33.50124375800596,0.730791861859823,0.00981030368896245,0.7547591522157996,0.013749613347174929
OBSERVER_2,Standard U-Net,3,20,0.9842670896695479,9.786601152237969e-05,0.9618787537839449,0.0006051412349107717,0.862064235898984,0.006564199873835319,0.9758303862431563,0.001606711291502463,0.8330228020656886,0.008222429442142161,0.8472516029387678,0.0010742103562992754,0.7349849830961246,0.0016172663131578562,61439.666666666664,223.50466065237507,3501.6666666666665,369.3376955217722,2400.3333333333335,54.77529856909347,408.0,30.199337741083,621.6666666666666,24.583192089989726,0.7318962582687017,0.016522693885950696,0.6761373601318882,0.03447582531427598
OBSERVER_2,DPD-2,3,20,0.9844281119061471,0.0001371549593743465,0.9609899908398656,0.0006692633313808446,0.873277128119617,0.006948502594051296,0.9732501073895298,0.001705010165974729,0.8203430600839782,0.008274156072337162,0.8459374645616877,0.0013297556934105234,0.7330098759186203,0.0019981215142294366,57675.666666666664,2312.882472875207,3419.0,734.0769714410063,2446.6666666666665,45.390894828515265,413.6666666666667,7.637626158259733,569.6666666666666,45.003703551300454,0.7483738603221919,0.015153305978900381,0.7005857799291452,0.017280257907241945
