config_id,rho,branch_tolerance,min_branch_length,long_branch_threshold,far_fp_distance,architecture,seed,image_id,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,06,5879,102,81,22,83,0.5094685400122174,0.6224899598393574
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,07,5004,36,89,18,58,0.5618556701030928,0.3592592592592593
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,08,4828,104,82,17,45,0.6322674418604651,0.7381974248927039
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,09,4501,25,86,22,62,0.5941931127616475,0.9904761904761905
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,10,3844,119,125,26,64,0.6290253327608416,0.6037735849056604
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,11,3981,285,150,21,68,0.6753191489361702,0.7701421800947867
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,12,3140,105,126,16,30,0.7656765676567657,0.6107784431137725
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,13,4535,79,108,21,50,0.6698853349426674,0.5968586387434555
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,14,2360,357,132,14,16,0.8613472858077175,0.92018779342723
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,15,2154,584,111,12,17,0.8419540229885057,0.898989898989899
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,16,4163,299,115,7,12,0.8674242424242424,0.7384615384615385
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,17,4861,122,87,10,18,0.8065610859728507,1.0
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,18,2770,170,111,6,7,0.9235555555555556,0.9315789473684211
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,19,1718,393,110,9,7,0.9063414634146342,0.9587628865979382
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,20,2534,706,125,9,3,0.944578313253012,0.9395348837209302
D0_PRIMARY,2,1,5,20,5,DPD-2,41,01,2075,148,147,9,12,0.8978426395939086,0.8805309734513275
D0_PRIMARY,2,1,5,20,5,DPD-2,41,02,2448,282,114,9,22,0.8119266055045872,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,41,03,4302,248,79,17,43,0.637007874015748,0.7615062761506276
D0_PRIMARY,2,1,5,20,5,DPD-2,41,04,3517,152,113,16,59,0.6284701712935618,0.5763358778625954
D0_PRIMARY,2,1,5,20,5,DPD-2,41,05,5064,75,95,14,58,0.6069958847736625,0.7544910179640718
D0_PRIMARY,2,1,5,20,5,DPD-2,41,06,5719,111,81,24,81,0.5088576664630422,0.5622489959839357
D0_PRIMARY,2,1,5,20,5,DPD-2,41,07,4639,186,95,21,49,0.604381443298969,0.40370370370370373
D0_PRIMARY,2,1,5,20,5,DPD-2,41,08,4558,120,88,15,41,0.6504360465116279,0.6909871244635193
D0_PRIMARY,2,1,5,20,5,DPD-2,41,09,3911,60,93,18,59,0.6178257933828494,0.9809523809523809
D0_PRIMARY,2,1,5,20,5,DPD-2,41,10,3755,161,122,30,63,0.6311721768999571,0.6245283018867924
D0_PRIMARY,2,1,5,20,5,DPD-2,41,11,3808,264,143,34,62,0.6825531914893617,0.7725118483412322
D0_PRIMARY,2,1,5,20,5,DPD-2,41,12,2913,152,132,19,21,0.8,0.6467065868263473
D0_PRIMARY,2,1,5,20,5,DPD-2,41,13,3982,141,116,20,43,0.7127338563669282,0.6544502617801047
D0_PRIMARY,2,1,5,20,5,DPD-2,41,14,2322,377,136,12,14,0.8705035971223022,0.8967136150234741
D0_PRIMARY,2,1,5,20,5,DPD-2,41,15,2242,242,112,8,20,0.8441091954022989,0.8922558922558923
D0_PRIMARY,2,1,5,20,5,DPD-2,41,16,3762,501,114,10,10,0.875,0.7538461538461538
D0_PRIMARY,2,1,5,20,5,DPD-2,41,17,4435,248,93,14,8,0.8540723981900452,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,41,18,2583,377,110,7,7,0.9288888888888889,0.9578947368421052
D0_PRIMARY,2,1,5,20,5,DPD-2,41,19,1659,521,106,12,8,0.8868292682926829,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,41,20,2191,751,129,3,5,0.944578313253012,0.9209302325581395
D0_PRIMARY,2,1,5,20,5,DPD-2,42,01,2016,201,148,7,13,0.8934010152284264,0.8628318584070797
D0_PRIMARY,2,1,5,20,5,DPD-2,42,02,2314,336,112,8,25,0.8103975535168195,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,42,03,4297,137,84,13,42,0.6543307086614173,0.8451882845188284
D0_PRIMARY,2,1,5,20,5,DPD-2,42,04,3646,75,114,12,62,0.61193148257531,0.5038167938931297
D0_PRIMARY,2,1,5,20,5,DPD-2,42,05,5151,42,95,13,59,0.6145404663923183,0.8203592814371258
D0_PRIMARY,2,1,5,20,5,DPD-2,42,06,5501,121,89,22,75,0.5455100794135614,0.642570281124498
D0_PRIMARY,2,1,5,20,5,DPD-2,42,07,4823,176,90,20,55,0.5902061855670103,0.5148148148148148
D0_PRIMARY,2,1,5,20,5,DPD-2,42,08,4749,84,85,16,43,0.6388081395348837,0.6652360515021459
D0_PRIMARY,2,1,5,20,5,DPD-2,42,09,3939,79,98,19,53,0.6441593517893315,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,42,10,3654,115,129,26,60,0.6509231429798197,0.6471698113207547
D0_PRIMARY,2,1,5,20,5,DPD-2,42,11,3551,295,159,22,58,0.7306382978723405,0.8222748815165877
D0_PRIMARY,2,1,5,20,5,DPD-2,42,12,2764,181,132,14,26,0.7907590759075908,0.6766467065868264
D0_PRIMARY,2,1,5,20,5,DPD-2,42,13,4115,147,109,23,47,0.687990343995172,0.643979057591623
D0_PRIMARY,2,1,5,20,5,DPD-2,42,14,2205,445,133,16,13,0.8659254414650098,0.9342723004694836
D0_PRIMARY,2,1,5,20,5,DPD-2,42,15,2299,318,107,7,26,0.8096264367816092,0.8855218855218855
D0_PRIMARY,2,1,5,20,5,DPD-2,42,16,3634,646,115,8,11,0.8863636363636364,0.8769230769230769
D0_PRIMARY,2,1,5,20,5,DPD-2,42,17,4261,239,93,10,12,0.8653846153846154,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,42,18,2481,353,113,4,7,0.9422222222222222,0.9736842105263158
D0_PRIMARY,2,1,5,20,5,DPD-2,42,19,1675,423,113,7,6,0.911219512195122,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,42,20,2088,813,129,7,1,0.9518072289156626,0.9023255813953488
D0_PRIMARY,2,1,5,20,5,DPD-2,43,01,2387,85,141,13,14,0.8705583756345178,0.827433628318584
D0_PRIMARY,2,1,5,20,5,DPD-2,43,02,2624,173,108,10,27,0.7782874617737003,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,43,03,4395,96,79,13,47,0.6165354330708661,0.7447698744769874
D0_PRIMARY,2,1,5,20,5,DPD-2,43,04,3712,61,106,22,60,0.6077968103957472,0.5381679389312977
D0_PRIMARY,2,1,5,20,5,DPD-2,43,05,5285,42,91,14,62,0.5843621399176955,0.6946107784431138
D0_PRIMARY,2,1,5,20,5,DPD-2,43,06,5832,97,81,23,82,0.5167990226023214,0.6385542168674698
D0_PRIMARY,2,1,5,20,5,DPD-2,43,07,4950,26,91,20,54,0.5837628865979382,0.4148148148148148
D0_PRIMARY,2,1,5,20,5,DPD-2,43,08,4749,90,84,16,44,0.6373546511627907,0.7296137339055794
D0_PRIMARY,2,1,5,20,5,DPD-2,43,09,4456,25,88,17,65,0.5860904794058069,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,43,10,3736,105,124,27,64,0.6384714469729498,0.6339622641509434
D0_PRIMARY,2,1,5,20,5,DPD-2,43,11,3860,241,151,24,64,0.691063829787234,0.7701421800947867
D0_PRIMARY,2,1,5,20,5,DPD-2,43,12,3042,106,129,11,32,0.7775577557755775,0.6526946107784432
D0_PRIMARY,2,1,5,20,5,DPD-2,43,13,4443,67,108,22,49,0.6783343391671696,0.5968586387434555
D0_PRIMARY,2,1,5,20,5,DPD-2,43,14,2334,343,130,15,17,0.8633093525179856,0.9295774647887324
D0_PRIMARY,2,1,5,20,5,DPD-2,43,15,2068,281,106,16,18,0.8362068965517241,0.898989898989899
D0_PRIMARY,2,1,5,20,5,DPD-2,43,16,4146,271,112,10,12,0.8645833333333334,0.8307692307692308
D0_PRIMARY,2,1,5,20,5,DPD-2,43,17,4770,129,87,9,19,0.8009049773755657,1.0
D0_PRIMARY,2,1,5,20,5,DPD-2,43,18,2725,180,111,6,7,0.928,0.9368421052631579
D0_PRIMARY,2,1,5,20,5,DPD-2,43,19,1668,347,112,6,8,0.8995121951219512,0.9587628865979382
D0_PRIMARY,2,1,5,20,5,DPD-2,43,20,2430,674,125,10,2,0.9437751004016064,0.9348837209302325
RHO_1,1,1,5,20,5,Standard U-Net,41,01,1564,104,72,9,13,0.8200620475698035,0.8108108108108109
RHO_1,1,1,5,20,5,Standard U-Net,41,02,1950,351,60,7,28,0.7025586353944563,1.0
RHO_1,1,1,5,20,5,Standard U-Net,41,03,3060,137,56,9,42,0.6171003717472119,0.8368200836820083
RHO_1,1,1,5,20,5,Standard U-Net,41,04,3015,80,64,18,62,0.4970717423133236,0.45454545454545453
RHO_1,1,1,5,20,5,Standard U-Net,41,05,3788,51,48,16,60,0.4876977152899824,0.7724550898203593
RHO_1,1,1,5,20,5,Standard U-Net,41,06,4206,99,52,25,73,0.42993396918561994,0.6144578313253012
RHO_1,1,1,5,20,5,Standard U-Net,41,07,3211,128,47,12,48,0.4824644549763033,0.4462809917355372
RHO_1,1,1,5,20,5,Standard U-Net,41,08,3081,106,50,20,39,0.5749097472924187,0.7467811158798283
RHO_1,1,1,5,20,5,Standard U-Net,41,09,2971,35,54,20,50,0.5509138381201044,0.9904761904761905
RHO_1,1,1,5,20,5,Standard U-Net,41,10,2891,160,83,33,60,0.592501233349778,0.6706114398422091
