dataset,metric,mean_oriented_effect,ci_2_5,ci_97_5,n_independent_units,n_bootstrap,bootstrap_seed,statistical_unit
DRIVE,auc,0.00015032823596020095,-1.7524761631860506e-05,0.00033807405813839395,20,10000,20260818,official test image
DRIVE,sensitivity,0.012489309593073372,0.01115266634509432,0.013837781679794952,20,10000,20260818,official test image
DRIVE,f1,0.0007851975845040826,-0.0009127119602800081,0.0023221444261205255,20,10000,20260818,official test image
DRIVE,iou,0.0010593766085465583,-0.0014053690694108634,0.003320975348539589,20,10000,20260818,official test image
DRIVE,thin_fn_pixels,207.0499999999999,183.1329166666667,231.08374999999998,20,10000,20260818,official test image
DRIVE,far_fp_pixels,-11.033333333333331,-40.9,32.64999999999999,20,10000,20260818,official test image
DRIVE,missed_segments,1.5833333333333333,0.7666666666666663,2.4000000000000004,20,10000,20260818,official test image
DRIVE,length_weighted_coverage,0.013801384572996811,0.010636723449540338,0.016966186020949948,20,10000,20260818,official test image
DRIVE,long_branch_coverage,0.02309345602590571,0.014203117287698583,0.033240369473809685,20,10000,20260818,official test image
STARE,auc,0.00023462454651305699,-0.00010149401000911341,0.0005855376347905651,20,10000,20260818,OOF image
STARE,sensitivity,-0.0025257117902337868,-0.006839639987917601,0.0016592586891125702,20,10000,20260818,OOF image
STARE,f1,-8.84643022230236e-05,-0.001975292813681715,0.0016776117179306746,20,10000,20260818,OOF image
STARE,iou,-7.665259668117041e-05,-0.0028741369016065444,0.002536093860562115,20,10000,20260818,OOF image
STARE,thin_fn_pixels,-52.14999999999999,-111.10041666666666,7.656666666666564,20,10000,20260818,OOF image
STARE,far_fp_pixels,24.866666666666667,-35.06750000000001,85.45083333333334,20,10000,20260818,OOF image
STARE,missed_segments,0.18333333333333315,-0.316666666666667,0.7333333333333331,20,10000,20260818,OOF image
STARE,length_weighted_coverage,0.0009637484080187942,-0.004692828377684235,0.006487569175650626,20,10000,20260818,OOF image
STARE,long_branch_coverage,0.001121090883021554,-0.011741013444875612,0.018858571665708302,17,10000,20260818,OOF image
CHASE_DB1,auc,-0.0001277596790384575,-0.00028553110287622756,4.515131373153221e-05,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,sensitivity,7.183633250764019e-05,-0.0028403338641971804,0.003108817398254635,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,f1,0.0005015027630085878,-0.0007814483243987306,0.0023674908063998842,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,iou,0.0006366423986828454,-0.0011330331668280168,0.0031068562477244823,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,thin_fn_pixels,84.73809523809516,-153.35714285714292,334.7892857142859,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,far_fp_pixels,248.42857142857142,-38.38214285714285,715.5011904761905,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,missed_segments,-0.5238095238095232,-4.524404761904765,3.619047619047623,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,length_weighted_coverage,-0.0017846199086616452,-0.015023798151732656,0.011958524054042286,14,10000,20260818,subject (paired eyes grouped)
CHASE_DB1,long_branch_coverage,-0.004434955320201772,-0.018755495921348647,0.009637352359649432,14,10000,20260818,subject (paired eyes grouped)
