architecture,dataset,evaluation_status,n_seeds,seeds,structural_configuration,AUC_mean,AUC_sample_SD,accuracy_mean,accuracy_sample_SD,sensitivity_mean,sensitivity_sample_SD,specificity_mean,specificity_sample_SD,precision_mean,precision_sample_SD,F1_mean,F1_sample_SD,IoU_mean,IoU_sample_SD,thin_FN_mean,thin_FN_sample_SD,far_FP_mean,far_FP_sample_SD,recovered_mean,recovered_sample_SD,partial_mean,partial_sample_SD,missed_mean,missed_sample_SD,length_weighted_coverage_mean,length_weighted_coverage_sample_SD,long_branch_coverage_mean,long_branch_coverage_sample_SD
Standard U-Net,DRIVE,official test,3,41;42;43,D0,0.9797213950838727,0.0002695281032585283,0.955847579064829,0.0001171993620945896,0.8251371796136869,0.008315305743884581,0.9749120522170551,0.0013257687609874137,0.827570149462557,0.00612469763180571,0.8263098215108347,0.0011564154785252052,0.7040283120830202,0.001678150368582343,75027.66666666667,436.7382892915772,4373.333333333333,419.2485340860876,2172.0,44.57577817604534,302.6666666666667,9.018499505645789,740.3333333333334,40.771722226726375,0.7162287550637065,0.015547756887069566,0.7318689788053949,0.03169008040288798
DPD-2,DRIVE,official test,3,41;42;43,D0,0.9799113256615268,0.00023093560828456875,0.9554068701669384,0.0006177766959180092,0.8377001720191096,0.006795533515305326,0.9725747175310285,0.001692820916508668,0.8167796398164069,0.008054159119888323,0.8270632251227217,0.0008658349655234835,0.705122364371679,0.0012591959283311,70886.66666666667,2387.656242706084,4594.0,1001.7429810086019,2209.6666666666665,42.12283624512164,296.6666666666667,20.033305601755625,708.6666666666666,33.50124375800596,0.730791861859823,0.00981030368896245,0.7547591522157996,0.013749613347174929
LMFR-Net Controlled,DRIVE,official test,3,41;42;43,D0,0.9762269807223473,0.0005302714104699061,0.9547278112067719,0.0003777870404269375,0.819493037005748,0.006963901406006421,0.9744521769254038,0.001435528321743932,0.8239755064443773,0.00698774676806691,0.8216887731087864,0.0003605092860118383,0.6973445378295432,0.0005193778692250782,77419.0,2525.4466931614297,4324.666666666667,588.9281223828026,2069.6666666666665,9.073771725877465,353.6666666666667,10.263202878893768,791.6666666666666,6.658328118479393,0.6902256319732047,0.0014782710833289936,0.6821579961464355,0.0016403696843000143
Spatial-AttVesNet Controlled,DRIVE,official test,3,41;42;43,D0,0.9787812831322608,0.00033533493529615044,0.9551651413364453,0.0006000220893805398,0.8236183795580592,0.013978800629477886,0.9743516002465012,0.0027194689223161476,0.8243400863165462,0.01309591232492688,0.8238309469269701,0.0006302272683294185,0.7004361555747932,0.000911370168959396,74112.0,6021.063776443495,6093.0,1539.1611351642166,2222.3333333333335,72.05784713224045,275.3333333333333,4.932882862316247,717.3333333333334,68.52979887124529,0.7286419082535588,0.02511092874468185,0.7415028901734104,0.041726898005650735
