architecture,seeds,params,GMACs,AUC_mean,AUC_sample_SD,accuracy_mean,accuracy_sample_SD,sensitivity_mean,sensitivity_sample_SD,specificity_mean,specificity_sample_SD,precision_mean,precision_sample_SD,F1_mean,F1_sample_SD,IoU_mean,IoU_sample_SD,thin_FN_mean,thin_FN_sample_SD,far_FP_mean,far_FP_sample_SD,recovered_mean,recovered_sample_SD,partial_mean,partial_sample_SD,missed_mean,missed_sample_SD,length_weighted_coverage_mean,length_weighted_coverage_sample_SD,long_branch_coverage_mean,long_branch_coverage_sample_SD
Standard U-Net,41;42;43,17261825,200.172127232,0.977154907863991,0.000268219821067827,0.954869540228618,0.000305809692521267,0.800438051998723,0.0103920604867276,0.976795140051685,0.00175561686915394,0.830573740867431,0.00896889049445565,0.815151100163216,0.00135667284984117,0.687980424050918,0.00193309291328546,16358.3333333333,239.713022869708,1106,109.284033600522,366,8.18535277187245,48.6666666666667,3.21455025366432,139.333333333333,11.1504857891185,0.668168168168168,0.0169885099892885,0.519053876478318,0.0202297034406579
S2D Replacement,41;42;43,17344129,202.870375424,0.977144491770534,0.000138838197516037,0.955031599773925,0.000282304369553988,0.80130410622022,0.00855487072349537,0.976857249089977,0.00135842616266341,0.831046706223474,0.00686022924084945,0.815856649786001,0.00155532732411584,0.688986643028418,0.00222005590299605,16095.6666666667,519.86761135248,1084.66666666667,128.102823284006,365.333333333333,4.16333199893227,46,1,142.666666666667,3.51188458428425,0.666257166257166,0.0059659305013651,0.523434077967587,0.00844822668505735
PMR-2,41;42;43,17426433,205.568623616,0.977150075110673,0.000492761340160919,0.954782447003589,0.000123834333109943,0.806095484694782,0.00798499413751907,0.975892460718132,0.00125787898461791,0.826075519199263,0.00604199217099965,0.815922974763749,0.00114598320030311,0.689080361313828,0.00163563844852419,15915,192.065093132511,1183.33333333333,47.5114021402582,370,11,47.6666666666667,1.52752523165195,136.333333333333,10.5987420637231,0.674651924651925,0.0164757134924561,0.520805957074025,0.0145340867481709
DPD-2,41;42;43,17426433,205.568623616,0.977461799057034,0.000212707812601544,0.954544318692117,0.00013794383982173,0.814430887099635,0.00435112647781273,0.974437094874913,0.00069450070958789,0.818970221386361,0.00327490703366176,0.816682566795261,0.000749428407911694,0.690164007440332,0.00107077473331611,15478.6666666667,328.064526173333,1217.66666666667,147.079343666381,373,4,49,5.29150262212918,132,6,0.682910182910183,0.0058248944289795,0.538764783180026,0.0112273373788667
DPD-4,41;42;43,19001345,209.568941056,0.97719134886781,0.000427498932124922,0.954863293035261,0.000410265921115863,0.804472741460646,0.0101860287049141,0.976215175923851,0.00191089223993151,0.827802853306955,0.00959753642957121,0.815891091009544,0.000587390272704031,0.68903410223379,0.000837714932219014,15956,392.33531576956,1112.66666666667,25.7940561628708,371,4.35889894354067,47.6666666666667,1.52752523165195,135.333333333333,3.05505046330389,0.674242424242424,0.00938283311825521,0.522120017520806,0.0147697900132171
